日付,氏名,開始時刻,終了時刻,前残業,後残業,役割
2026/6/1,佐々木 朝男,7:30,16:30,FALSE,FALSE,役席
2026/6/1,松本 旭子,7:30,16:30,FALSE,FALSE,役席
2026/6/1,井上 夕真,13:45,22:15,FALSE,FALSE,GL
2026/6/1,木村 夕子,13:45,22:15,FALSE,FALSE,GL
2026/6/1,柴村 導子,8:00,17:00,FALSE,FALSE,OP
2026/6/1,大山 教人,9:00,17:30,FALSE,FALSE,OP
2026/6/1,高橋 学,8:00,17:00,FALSE,FALSE,OP
2026/6/1,田中 習子,8:00,17:00,FALSE,FALSE,OP
2026/6/1,不動 一郎,9:00,16:00,FALSE,FALSE,OP
2026/6/1,鈴木 二郎,9:00,17:30,FALSE,FALSE,OP
2026/6/1,高橋 三郎,9:00,18:00,FALSE,TRUE,OP
2026/6/1,田中 四郎,13:00,22:00,FALSE,FALSE,OP
2026/6/1,伊藤 五郎,13:00,22:00,FALSE,FALSE,OP
2026/6/1,渡辺 六郎,13:00,22:00,FALSE,FALSE,OP
2026/6/1,山本 一子,13:30,22:00,FALSE,FALSE,OP
2026/6/1,中村 二子,13:00,22:00,FALSE,FALSE,OP
2026/6/1,小林 三子,22:00,32:00,FALSE,FALSE,OP
2026/6/1,東 四子,13:00,22:00,FALSE,FALSE,OP
2026/6/1,吉田 五子,9:00,18:00,FALSE,FALSE,OP
2026/6/1,山田 六子,13:00,22:00,FALSE,FALSE,OP
2026/6/1,若葉 初美,8:00,17:00,FALSE,FALSE,OP
2026/6/1,新田 若人,8:00,17:00,FALSE,FALSE,OP
2026/6/2,用意　ナシ,13:15,22:15,FALSE,FALSE,OP
