日付,氏名,開始時刻,終了時刻,前残業,後残業,役割
2026-07-01,佐藤 陽子,9:00,18:00,FALSE,FALSE,OP
2026-07-01,鈴木 大輔,9:00,18:00,FALSE,FALSE,OP
2026-07-01,高橋 美咲,9:00,13:00,FALSE,FALSE,OP
2026-07-01,田中 健太,13:00,18:00,FALSE,FALSE,OP
2026-07-01,伊藤 さくら,9:00,18:00,FALSE,FALSE,OP
2026-07-01,渡辺 翔太,10:00,19:00,TRUE,FALSE,OP
2026-07-01,山本 直樹,9:00,18:00,FALSE,FALSE,OP
2026-07-01,中村 由美,9:00,13:00,FALSE,FALSE,OP
2026-07-01,小林 亮,9:00,18:00,FALSE,FALSE,OP
2026-07-01,加藤 愛,13:00,18:00,FALSE,FALSE,OP
2026-07-01,吉田 拓也,9:00,18:00,FALSE,FALSE,OP
2026-07-01,山口 花子,8:30,17:30,FALSE,FALSE,OP
2026-07-01,松本 涼,9:00,13:00,FALSE,FALSE,OP
2026-07-01,井上 舞,13:00,18:00,FALSE,FALSE,OP
2026-07-01,木村 洋介,9:00,18:00,FALSE,FALSE,OP
2026-07-01,林 恵美,22:30,31:00,FALSE,FALSE,OP
2026-07-01,清水 大地,9:00,18:00,FALSE,FALSE,OP
2026-07-01,山崎 千尋,9:00,13:00,FALSE,FALSE,OP
2026-07-01,森田 亮太,13:00,18:00,FALSE,TRUE,OP
2026-07-01,池田 真央,10:00,19:00,FALSE,FALSE,OP
2026-07-01,岡田 修,8:00,17:00,FALSE,FALSE,役席
2026-07-01,石川 理恵,13:00,22:00,FALSE,FALSE,GL
2026-07-02,佐藤 陽子,9:00,18:00,FALSE,FALSE,OP
2026-07-02,鈴木 大輔,9:00,18:00,FALSE,FALSE,OP
2026-07-02,高橋 美咲,9:00,13:00,FALSE,FALSE,OP
2026-07-02,田中 健太,13:00,18:00,FALSE,FALSE,OP
2026-07-02,伊藤 さくら,9:00,18:00,FALSE,FALSE,OP
2026-07-02,渡辺 翔太,10:00,19:00,TRUE,FALSE,OP
2026-07-02,山本 直樹,9:00,18:00,FALSE,FALSE,OP
2026-07-02,中村 由美,9:00,13:00,FALSE,FALSE,OP
2026-07-02,小林 亮,9:00,18:00,FALSE,FALSE,OP
2026-07-02,加藤 愛,13:00,18:00,FALSE,FALSE,OP
2026-07-02,吉田 拓也,9:00,18:00,FALSE,FALSE,OP
2026-07-02,山口 花子,8:30,17:30,FALSE,FALSE,OP
2026-07-02,松本 涼,9:00,13:00,FALSE,FALSE,OP
2026-07-02,井上 舞,13:00,18:00,FALSE,FALSE,OP
2026-07-02,木村 洋介,9:00,18:00,FALSE,FALSE,OP
2026-07-02,林 恵美,22:30,31:00,FALSE,FALSE,OP
2026-07-02,清水 大地,9:00,18:00,FALSE,FALSE,OP
2026-07-02,山崎 千尋,9:00,13:00,FALSE,FALSE,OP
2026-07-02,森田 亮太,13:00,18:00,FALSE,TRUE,OP
2026-07-02,池田 真央,10:00,19:00,FALSE,FALSE,OP
2026-07-02,岡田 修,8:00,17:00,FALSE,FALSE,役席
2026-07-02,石川 理恵,13:00,22:00,FALSE,FALSE,GL
2026-07-03,佐藤 陽子,9:00,18:00,FALSE,FALSE,OP
2026-07-03,鈴木 大輔,9:00,18:00,FALSE,FALSE,OP
2026-07-03,高橋 美咲,9:00,13:00,FALSE,FALSE,OP
2026-07-03,田中 健太,13:00,18:00,FALSE,FALSE,OP
2026-07-03,伊藤 さくら,9:00,18:00,FALSE,FALSE,OP
2026-07-03,渡辺 翔太,10:00,19:00,TRUE,FALSE,OP
2026-07-03,山本 直樹,9:00,18:00,FALSE,FALSE,OP
2026-07-03,中村 由美,9:00,13:00,FALSE,FALSE,OP
2026-07-03,小林 亮,9:00,18:00,FALSE,FALSE,OP
2026-07-03,加藤 愛,13:00,18:00,FALSE,FALSE,OP
2026-07-03,吉田 拓也,9:00,18:00,FALSE,FALSE,OP
2026-07-03,山口 花子,8:30,17:30,FALSE,FALSE,OP
2026-07-03,松本 涼,9:00,13:00,FALSE,FALSE,OP
2026-07-03,井上 舞,13:00,18:00,FALSE,FALSE,OP
2026-07-03,木村 洋介,9:00,18:00,FALSE,FALSE,OP
2026-07-03,林 恵美,22:30,31:00,FALSE,FALSE,OP
2026-07-03,清水 大地,9:00,18:00,FALSE,FALSE,OP
2026-07-03,山崎 千尋,9:00,13:00,FALSE,FALSE,OP
2026-07-03,森田 亮太,13:00,18:00,FALSE,TRUE,OP
2026-07-03,池田 真央,10:00,19:00,FALSE,FALSE,OP
2026-07-03,岡田 修,8:00,17:00,FALSE,FALSE,役席
2026-07-03,石川 理恵,13:00,22:00,FALSE,FALSE,GL
